"","team","opp","team_town","opp_town"
"271"," UNC Greensboro"," UNC Greensboro","Greensboro, NC","Greensboro, NC"
"272"," UNC Wilmington"," UNC Wilmington","Wilmington, NC","Wilmington, NC"
"273"," UNLV"," UNLV","Las Vegas, NV","Las Vegas, NV"
"274"," USC"," USC","Los Angeles, CA","Los Angeles, CA"
"275"," UT Arlington"," UT Arlington","Arlington, TX","Arlington, TX"
"276"," Utah"," Utah","Salt Lake City, UT","Salt Lake City, UT"
"277"," Utah State"," Utah State","Logan, UT","Logan, UT"
"278"," UTEP"," UTEP","El Paso, TX","El Paso, TX"
"279"," UTSA"," UTSA","San Antonio, TX","San Antonio, TX"
"280"," Valparaiso"," Valparaiso","Valparaiso, IN","Valparaiso, IN"
"281"," Vanderbilt"," Vanderbilt","Nashville, TN","Nashville, TN"
"282"," VCU"," VCU","Richmond, VA","Richmond, VA"
"283"," Vermont"," Vermont","Burlington, VA","Burlington, VA"
"284"," Villanova"," Villanova","Philadelphia, PA","Philadelphia, PA"
"285"," Virginia"," Virginia","Charlottesville, VA","Charlottesville, VA"
"286"," Virginia Tech"," Virginia Tech","Blacksburg, VA","Blacksburg, VA"
"287"," Wagner"," Wagner","Staten Island, NY","Staten Island, NY"
"288"," Wake Forest"," Wake Forest","Winston-Salem, NC","Winston-Salem, NC"
"289"," Washington"," Washington","Seattle, WA","Seattle, WA"
"290"," Washington State"," Washington State","Pullman, WA","Pullman, WA"
"291"," Weber State"," Weber State","Ogden, UT","Ogden, UT"
"292"," West Virginia"," West Virginia","Morgantown, WV","Morgantown, WV"
"293"," Western Carolina"," Western Carolina","Cullowhee, NC","Cullowhee, NC"
"294"," Western Kentucky"," Western Kentucky","Bowling Green, KY","Bowling Green, KY"
"295"," Western Michigan"," Western Michigan","Kalamazoo, MI","Kalamazoo, MI"
"296"," Wichita State"," Wichita State","Wichita, KS","Wichita, KS"
"297"," Winthrop"," Winthrop","Rock Hill, SC","Rock Hill, SC"
"298"," Wisconsin"," Wisconsin","Madison, WI","Madison, WI"
"299"," Wofford"," Wofford","Spartanburg, SC","Spartanburg, SC"
"300"," Wright State"," Wright State","Dayton, OH","Dayton, OH"
"301"," Wyoming"," Wyoming","Laramie, WY","Laramie, WY"
"302"," Xavier"," Xavier","Cincinnati, OH","Cincinnati, OH"
"303"," Yale"," Yale","New Haven, CT","New Haven, CT"
